code,number,dead_1_hr,live_herb,live_woody
NB0,0,0.0,0.0,0.0
NB1,91,0.0,0.0,0.0
NB2,92,0.0,0.0,0.0
NB3,93,0.0,0.0,0.0
NB8,98,0.0,0.0,0.0
NB9,99,0,0.0,0.0
GR1,101,2200,2000,0.0
GR2,102,2000,1800,0.0
GR3,103,1500,1300,0.0
GR4,104,2000,1800,0.0
GR5,105,1800,1600,0.0
GR6,106,2200,2000,0.0
GR7,107,2000,1800,0.0
GR8,108,1500,1300,0.0
GR9,109,1800,1600,0.0
GS1,121,2000,1800,1800
GS2,122,2000,1800,1800
GS3,123,1800,1600,1600
GS4,124,1800,1600,1600
SH1,141,2000,1800,1600
SH2,142,2000,0.0,1600
SH3,143,1600,0.0,1400
SH4,144,2000,1800,1600
SH5,145,750,0.0,1600
SH6,146,750,0.0,1600
SH7,147,750,0.0,1600
SH8,148,750,0.0,1600
SH9,149,750,1800,1500
TU1,161,2000,1800,1600
TU2,162,2000,0.0,1600
TU3,163,1800,1600,1400
TU4,164,2300,0.0,2000
TU5,165,1500,0.0,750
TL1,181,2000,0.0,0.0
TL2,182,2000,0.0,0.0
TL3,183,2000,0.0,0.0
TL4,184,2000,0.0,0.0
TL5,185,2000,0.0,1600
TL6,186,2000,0.0,0.0
TL7,187,2000,0.0,0.0
TL8,188,1800,0.0,0.0
TL9,189,1800,0.0,1600
SB1,201,2000,0.0,0.0
SB2,202,2000,0.0,0.0
SB3,203,2000,0.0,0.0
SB4,204,2000,0.0,0.0
